index	X	Y	Depth
612	740933.64	7230667.38	-6134.89
613	740983.64	7230667.38	-6138.67
614	741033.64	7230667.38	-6139.30
615	741083.64	7230667.38	-6131.40
616	741133.64	7230667.38	-6115.43
617	741183.64	7230667.38	-6095.34
618	741233.64	7230667.38	-6064.51
619	741283.64	7230667.38	-6036.10
620	741333.64	7230667.38	-6017.67
621	741383.64	7230667.38	-6003.54
622	741433.64	7230667.38	-5999.64
623	741483.64	7230667.38	-6006.82
624	738933.64	7230717.38	-6292.10
625	738983.64	7230717.38	-6293.88
626	739033.64	7230717.38	-6294.99
627	739083.64	7230717.38	-6295.36
628	739133.64	7230717.38	-6294.76
629	739183.64	7230717.38	-6293.11
630	739233.64	7230717.38	-6291.82
631	739283.64	7230717.38	-6290.37
632	739333.64	7230717.38	-6289.70
633	739383.64	7230717.38	-6290.19
634	739433.64	7230717.38	-6291.10
635	739483.64	7230717.38	-6292.36
636	739533.64	7230717.38	-6292.63
637	739583.64	7230717.38	-6291.39
638	739633.64	7230717.38	-6289.60
639	739683.64	7230717.38	-6289.91
640	739733.64	7230717.38	-6294.93
641	739783.64	7230717.38	-6300.85
642	739833.64	7230717.38	-6307.06
643	739883.64	7230717.38	-6313.27
644	739933.64	7230717.38	-6316.00
645	739983.64	7230717.38	-6315.73
646	740033.64	7230717.38	-6315.62
647	740083.64	7230717.38	-6314.37
648	740133.64	7230717.38	-6308.90
649	740183.64	7230717.38	-6298.67
650	740233.64	7230717.38	-6282.79
651	740283.64	7230717.38	-6262.72
652	740333.64	7230717.38	-6239.61
653	740383.64	7230717.38	-6216.57
654	740433.64	7230717.38	-6195.78
655	740483.64	7230717.38	-6176.96
656	740533.64	7230717.38	-6161.07
657	740583.64	7230717.38	-6148.18
658	740633.64	7230717.38	-6136.68
659	740683.64	7230717.38	-6127.20
660	740733.64	7230717.38	-6123.49
661	740783.64	7230717.38	-6122.29
662	740833.64	7230717.38	-6122.97
663	740883.64	7230717.38	-6128.84
664	740933.64	7230717.38	-6135.14
665	740983.64	7230717.38	-6134.75
666	741033.64	7230717.38	-6128.76
667	741083.64	7230717.38	-6112.26
668	741133.64	7230717.38	-6094.38
669	741183.64	7230717.38	-6076.41
670	741233.64	7230717.38	-6050.44
671	741283.64	7230717.38	-6023.41
672	741333.64	7230717.38	-6004.61
673	741383.64	7230717.38	-5990.44
674	741433.64	7230717.38	-5983.58
675	741483.64	7230717.38	-5989.74
676	738833.64	7230767.38	-6282.55
677	738883.64	7230767.38	-6285.78
678	738933.64	7230767.38	-6287.70
679	738983.64	7230767.38	-6288.29
680	739033.64	7230767.38	-6288.10
681	739083.64	7230767.38	-6286.94
682	739133.64	7230767.38	-6285.71
683	739183.64	7230767.38	-6284.66
684	739233.64	7230767.38	-6283.89
685	739283.64	7230767.38	-6283.25
686	739333.64	7230767.38	-6282.98
687	739383.64	7230767.38	-6283.01
688	739433.64	7230767.38	-6283.12
689	739483.64	7230767.38	-6283.77
690	739533.64	7230767.38	-6284.64
691	739583.64	7230767.38	-6284.90
692	739633.64	7230767.38	-6284.48
693	739683.64	7230767.38	-6286.11
694	739733.64	7230767.38	-6290.82
695	739783.64	7230767.38	-6295.96
696	739833.64	7230767.38	-6301.06
697	739883.64	7230767.38	-6304.21
698	739933.64	7230767.38	-6305.78
699	739983.64	7230767.38	-6306.40
700	740033.64	7230767.38	-6306.13
701	740083.64	7230767.38	-6305.62
702	740133.64	7230767.38	-6301.74
703	740183.64	7230767.38	-6292.76
704	740233.64	7230767.38	-6277.69
705	740283.64	7230767.38	-6257.51
706	740333.64	7230767.38	-6232.07
707	740383.64	7230767.38	-6206.44
708	740433.64	7230767.38	-6182.89
709	740483.64	7230767.38	-6162.41
710	740533.64	7230767.38	-6147.76
711	740583.64	7230767.38	-6138.33
712	740633.64	7230767.38	-6129.04
713	740683.64	7230767.38	-6120.42
714	740733.64	7230767.38	-6120.46
715	740783.64	7230767.38	-6124.03
716	740833.64	7230767.38	-6128.38
717	740883.64	7230767.38	-6133.55
718	740933.64	7230767.38	-6133.88
719	740983.64	7230767.38	-6123.81
720	741033.64	7230767.38	-6107.64
721	741083.64	7230767.38	-6083.71
722	741133.64	7230767.38	-6065.06
723	741183.64	7230767.38	-6051.12
724	741233.64	7230767.38	-6031.30
725	741283.64	7230767.38	-6009.95
726	741333.64	7230767.38	-5993.28
727	741383.64	7230767.38	-5982.05
728	741433.64	7230767.38	-5979.56
729	741483.64	7230767.38	-5984.24
730	741533.64	7230767.38	-6003.06
731	738733.64	7230817.38	-6272.68
732	738783.64	7230817.38	-6276.50
733	738833.64	7230817.38	-6279.31
734	738883.64	7230817.38	-6281.68
