index	X	Y	Depth
609	740783.64	7230667.38	-6416.79
610	740833.64	7230667.38	-6411.26
611	740883.64	7230667.38	-6403.39
612	740933.64	7230667.38	-6394.16
613	740983.64	7230667.38	-6386.82
614	741033.64	7230667.38	-6381.09
615	741083.64	7230667.38	-6374.48
616	741133.64	7230667.38	-6364.65
617	741183.64	7230667.38	-6350.73
618	741233.64	7230667.38	-6334.97
619	741283.64	7230667.38	-6319.03
620	741333.64	7230667.38	-6306.22
621	741383.64	7230667.38	-6298.46
622	741433.64	7230667.38	-6293.74
623	741483.64	7230667.38	-6289.54
624	738933.64	7230717.38	-6582.49
625	738983.64	7230717.38	-6567.49
626	739033.64	7230717.38	-6549.79
627	739083.64	7230717.38	-6533.50
628	739133.64	7230717.38	-6516.97
629	739183.64	7230717.38	-6503.97
630	739233.64	7230717.38	-6501.36
631	739283.64	7230717.38	-6499.70
632	739333.64	7230717.38	-6497.43
633	739383.64	7230717.38	-6496.99
634	739433.64	7230717.38	-6496.11
635	739483.64	7230717.38	-6494.75
636	739533.64	7230717.38	-6492.39
637	739583.64	7230717.38	-6489.16
638	739633.64	7230717.38	-6484.36
639	739683.64	7230717.38	-6482.94
640	739733.64	7230717.38	-6485.05
641	739783.64	7230717.38	-6484.25
642	739833.64	7230717.38	-6482.96
643	739883.64	7230717.38	-6481.04
644	739933.64	7230717.38	-6474.50
645	739983.64	7230717.38	-6469.02
646	740033.64	7230717.38	-6466.50
647	740083.64	7230717.38	-6464.84
648	740133.64	7230717.38	-6464.00
649	740183.64	7230717.38	-6462.63
650	740233.64	7230717.38	-6459.12
651	740283.64	7230717.38	-6454.79
652	740333.64	7230717.38	-6450.78
653	740383.64	7230717.38	-6446.22
654	740433.64	7230717.38	-6443.07
655	740483.64	7230717.38	-6441.57
656	740533.64	7230717.38	-6438.91
657	740583.64	7230717.38	-6434.35
658	740633.64	7230717.38	-6429.02
659	740683.64	7230717.38	-6423.78
660	740733.64	7230717.38	-6418.61
661	740783.64	7230717.38	-6413.73
662	740833.64	7230717.38	-6409.56
663	740883.64	7230717.38	-6403.78
664	740933.64	7230717.38	-6396.02
665	740983.64	7230717.38	-6388.29
666	741033.64	7230717.38	-6380.89
667	741083.64	7230717.38	-6372.92
668	741133.64	7230717.38	-6362.46
669	741183.64	7230717.38	-6348.61
670	741233.64	7230717.38	-6334.09
671	741283.64	7230717.38	-6318.95
672	741333.64	7230717.38	-6305.56
673	741383.64	7230717.38	-6296.71
674	741433.64	7230717.38	-6290.97
675	741483.64	7230717.38	-6286.43
676	738833.64	7230767.38	-6575.17
677	738883.64	7230767.38	-6576.71
678	738933.64	7230767.38	-6570.22
679	738983.64	7230767.38	-6556.57
680	739033.64	7230767.38	-6541.16
681	739083.64	7230767.38	-6523.62
682	739133.64	7230767.38	-6506.30
683	739183.64	7230767.38	-6496.40
684	739233.64	7230767.38	-6493.48
685	739283.64	7230767.38	-6491.89
686	739333.64	7230767.38	-6490.91
687	739383.64	7230767.38	-6491.52
688	739433.64	7230767.38	-6491.43
689	739483.64	7230767.38	-6489.32
690	739533.64	7230767.38	-6485.29
691	739583.64	7230767.38	-6479.52
692	739633.64	7230767.38	-6472.59
693	739683.64	7230767.38	-6467.89
694	739733.64	7230767.38	-6466.50
695	739783.64	7230767.38	-6465.88
696	739833.64	7230767.38	-6466.46
697	739883.64	7230767.38	-6466.58
698	739933.64	7230767.38	-6463.10
699	739983.64	7230767.38	-6461.28
700	740033.64	7230767.38	-6460.95
701	740083.64	7230767.38	-6461.19
702	740133.64	7230767.38	-6461.53
703	740183.64	7230767.38	-6460.44
704	740233.64	7230767.38	-6456.63
705	740283.64	7230767.38	-6450.62
706	740333.64	7230767.38	-6444.18
707	740383.64	7230767.38	-6437.75
708	740433.64	7230767.38	-6432.67
709	740483.64	7230767.38	-6429.85
710	740533.64	7230767.38	-6428.11
711	740583.64	7230767.38	-6425.44
712	740633.64	7230767.38	-6421.18
713	740683.64	7230767.38	-6418.21
714	740733.64	7230767.38	-6414.76
715	740783.64	7230767.38	-6410.87
716	740833.64	7230767.38	-6408.05
717	740883.64	7230767.38	-6403.79
718	740933.64	7230767.38	-6397.11
719	740983.64	7230767.38	-6388.54
720	741033.64	7230767.38	-6378.47
721	741083.64	7230767.38	-6368.25
722	741133.64	7230767.38	-6356.49
723	741183.64	7230767.38	-6342.79
724	741233.64	7230767.38	-6329.87
725	741283.64	7230767.38	-6316.99
726	741333.64	7230767.38	-6303.68
727	741383.64	7230767.38	-6294.63
728	741433.64	7230767.38	-6288.33
729	741483.64	7230767.38	-6283.65
730	741533.64	7230767.38	-6280.86
731	738733.64	7230817.38	-6566.58
732	738783.64	7230817.38	-6566.54
733	738833.64	7230817.38	-6564.68
734	738883.64	7230817.38	-6563.06
