#X,Y,Z,attr 
 40800.000, 71736.230,  -740.136,     0.867
 40800.000, 81175.497,  -777.721,     0.921
 40800.000, 99741.990, -1075.510,     0.853
 40800.000,114485.969, -1199.830,     0.503
 40800.000, 82969.738,  -873.129,     0.957
 40800.000, 58396.440,  -592.687,     0.882
 40800.000, 58786.492,  -543.537,     0.048
 40800.000,105202.723, -1162.245,     0.729
 40800.000, 71580.209,  -714.116,     0.635
 40800.000, 85388.063,  -800.850,     0.422
 40800.000, 87728.377, -1011.905,     0.844
 40800.000, 74466.597,  -870.238,     0.202
 40800.000,109337.277, -1176.701,     0.682
 40800.000,111755.602, -1032.143,     0.879
 40800.000, 87026.283,  -907.823,     0.650
 40800.000, 92721.047, -1061.054,     0.933
 40800.000, 60424.712,  -673.639,     0.867
 40800.000, 86168.168,  -884.694,     0.458
 40800.000, 57148.272,  -627.381,     0.932
 40800.000,103408.482,  -988.776,     0.514
 40800.000, 95139.372, -1081.293,     0.647
 40800.000, 78289.110,  -850.000,     0.698
 40800.000, 82345.654,  -997.449,     0.597
 40800.000,111287.539, -1069.728,     0.921
 40800.000,101692.251,  -982.993,     0.496
 40800.000, 76026.806,  -852.891,     0.772
 40800.000, 77118.953,  -771.939,     0.673
 40800.000, 85466.073, -1029.252,     0.948
 40800.000, 51999.581,  -497.279,     0.004
 40800.000,104266.597,  -928.061,     0.790
 40800.000, 97089.634, -1150.680,     0.954
 40800.000, 92096.963,  -974.320,     0.968
 40800.000, 95061.361,  -988.776,     0.729
 40800.000, 90614.764,  -910.714,     0.690
 40800.000, 79303.246,  -881.803,     0.675
 40800.000, 85310.052,  -962.755,     0.677
 40800.000,107699.058, -1133.333,     0.711
 40800.000,108869.215,  -971.429,     0.630
 40800.000,111287.539, -1211.395,     0.518
 40800.000, 91082.827, -1037.925,     0.897
 40800.000,109649.319, -1055.272,     0.964
 40800.000, 55744.084,  -586.905,     0.930
 40800.000, 69941.990,  -653.401,     0.962
 40800.000, 87416.335,  -991.667,     0.573
 40800.000, 93579.162,  -910.714,     0.714
 40800.000,113237.801, -1066.837,     0.964
 40800.000, 46850.890,  -485.714,     0.890
 40800.000, 74622.618,  -847.109,     0.782
 40800.000, 87260.314,  -858.673,     0.906
 40800.000, 41390.157,  -372.959,     0.626
 40800.000, 58084.398,  -650.510,     0.696
 40800.000, 89600.628,  -936.735,     0.969
 40800.000, 66821.571,  -711.224,     0.894
 40800.000, 55432.042,  -557.993,     0.649
 40800.000,106450.890, -1026.361,     0.653
 40800.000,106294.869, -1029.252,     0.853
 40800.000, 92409.005, -1124.660,     0.898
 40800.000, 56446.178,  -531.973,     0.031
 40800.000, 98805.864,  -904.932,     0.539
 40800.000,103954.555, -1188.265,     0.513
 40800.000,109571.309, -1208.503,     0.786
 40800.000,103564.503, -1173.810,     0.655
 40800.000, 77665.026,  -771.939,     0.551
 40800.000, 91082.827, -1020.578,     0.797
 40800.000, 84685.969,  -829.762,     0.802
 40800.000,105046.702, -1087.075,     0.741
 40800.000,114563.979, -1173.810,     0.835
 40800.000, 40220.000,  -401.871,     0.826
 40800.000, 91316.859,  -977.211,     0.878
 40800.000, 44042.513,  -523.299,     0.984
 40800.000, 65651.414,  -688.095,     0.727
 40800.000, 92252.984, -1075.510,     0.920
 40800.000, 79927.330,  -838.435,     0.921
 40800.000, 77821.047,  -766.156,     0.663
 40800.000, 88664.503,  -841.327,     0.489
 40800.000, 93033.089,  -991.667,     0.793
 40800.000, 96855.602, -1150.680,     0.972
 40800.000, 52857.696,  -563.776,     0.841
 40800.000,104734.660,  -916.497,     0.435
 40800.000, 67289.634,  -717.007,     0.809
 40800.000, 80395.393,  -771.939,     0.971
 40800.000,108713.194, -1026.361,     0.523
 40800.000, 93891.204,  -945.408,     0.422
 40800.000,114407.958, -1118.878,     0.683
 40800.000, 95373.403,  -913.605,     0.898
 40800.000,110507.435, -1162.245,     0.959
 40800.000,107465.026,  -959.864,     0.899
 40800.000, 86324.188,  -942.517,     0.769
 40800.000, 59644.607,  -627.381,     0.616
 40800.000, 91706.911,  -861.565,     0.855
 40800.000, 85778.115,  -870.238,     0.963
 40800.000, 89288.586, -1023.469,     0.931
 40800.000, 91238.848, -1035.034,     0.907
 40800.000, 84685.969,  -951.190,     0.508
 40800.000, 49113.194,  -557.993,     0.942
 40800.000, 73140.419,  -783.503,     0.835
 40800.000, 85388.063,  -855.782,     0.945
 40800.000, 89912.670,  -994.558,     0.522
 40800.000, 84451.937,  -823.980,     0.763
 40800.000,100678.115, -1032.143,     0.868
 40800.000, 84061.885,  -847.109,     0.626
 40800.000, 90302.723, -1069.728,     0.895
 40800.000, 84217.906,  -855.782,     0.565
 40800.000,110819.476,  -988.776,     0.623
 40800.000, 78445.131,  -847.109,     0.830
 40800.000, 72984.398,  -800.850,     0.904
 40800.000, 96699.581,  -997.449,     0.953
 40800.000,107621.047,  -930.952,     0.387
 40800.000,103330.471,  -910.714,     0.289
 40800.000,106060.838,  -942.517,     0.642
 40800.000, 50673.403,  -578.231,     0.840
 40800.000,102862.408,  -951.190,     0.950
 40800.000,105592.775, -1150.680,     0.979
 40800.000,104422.618, -1058.163,     0.755
 40800.000,106450.890, -1185.374,     0.965
 40800.000,109337.277, -1061.054,     0.885
 40800.000,100912.147, -1144.898,     0.690
 40800.000, 71034.136,  -795.068,     0.063
 40800.000,107387.016, -1087.075,     0.939
 40800.000, 81409.529,  -936.735,     0.949
 40800.000, 59800.628,  -615.816,     0.880
 40800.000, 94203.246, -1098.639,     0.778
 40800.000, 91316.859, -1113.095,     0.778
 40800.000, 78211.099,  -783.503,     0.837
 40800.000,104344.607, -1199.830,     0.357
 40800.000, 60034.660,  -578.231,     0.767
 40800.000, 97011.623, -1003.231,     0.846
 40800.000, 90380.733,  -959.864,     0.810
 40800.000,104734.660, -1133.333,     0.887
 40800.000, 91472.880, -1107.313,     0.774
 40800.000, 70878.115,  -717.007,     0.892
 40800.000, 81487.539,  -945.408,     0.932
 40800.000, 92252.984,  -878.912,     0.932
 40800.000,108401.152, -1075.510,     0.970
 40800.000, 94047.225, -1081.293,     0.867
 40800.000,100756.126, -1165.136,     0.610
 40800.000, 42248.272,  -448.129,     0.897
 40800.000, 91784.921,  -962.755,     0.933
 40800.000, 89054.555,  -985.884,     0.637
 40800.000, 80473.403,  -928.061,     0.827
 40800.000, 72438.325,  -832.653,     0.012
 40800.000,103018.429,  -977.211,     0.485
 40800.000, 75480.733,  -740.136,     0.879
 40800.000, 97245.654,  -982.993,     0.741
 40800.000, 69785.969,  -641.837,     0.863
 40800.000, 96309.529,  -962.755,     0.831
 40800.000, 59176.545,  -633.163,     0.536
 40800.000, 53169.738,  -584.014,     0.976
 40800.000,103096.440, -1142.007,     0.725
 40800.000,109571.309, -1063.946,     0.869
 40800.000, 67289.634,  -690.986,     0.748
 40800.000, 98025.759,  -968.537,     0.533
 40800.000, 81721.571,  -991.667,     0.439
 40800.000, 52935.707,  -586.905,     0.954
 40800.000, 96699.581, -1133.333,     0.805
 40800.000, 66977.592,  -667.857,     0.682
 40800.000, 75636.754,  -792.177,     0.546
 40800.000, 99663.979,  -919.388,     0.942
 40800.000, 93657.173,  -968.537,     0.824
 40800.000,100678.115, -1115.986,     0.925
 40800.000,110897.487, -1063.946,     0.754
 40800.000, 86246.178,  -982.993,     0.953
 40800.000, 91862.932,  -907.823,     0.870
 40800.000, 99039.895, -1127.551,     0.789
 40800.000,113783.874, -1150.680,     0.575
 40800.000, 60190.681,  -615.816,     0.908
 40800.000, 95139.372, -1078.401,     0.817
 40800.000, 84451.937,  -922.279,     0.745
 40800.000, 64403.246,  -690.986,     0.958
 40800.000,113003.770,  -997.449,     0.736
 40800.000,109415.288, -1182.483,     0.831
 40800.000,107230.995, -1017.687,     0.488
 40800.000,112145.654, -1069.728,     0.720
 40800.000,106528.901, -1139.116,     0.948
 40800.000, 60112.670,  -662.075,     0.514
 40800.000, 84763.979,  -800.850,     0.473
 40800.000, 89132.565,  -959.864,     0.768
 40800.000, 79069.215,  -786.395,     0.651
 40800.000, 88508.482,  -855.782,     0.659
 40800.000,105280.733, -1113.095,     0.867
 40800.000, 86168.168,  -930.952,     0.914
 40800.000, 58240.419,  -595.578,     0.779
 40800.000, 46304.817,  -560.884,     0.744
 40800.000, 79615.288,  -832.653,     0.556
 40800.000,112379.686, -1066.837,     0.772
 40800.000,101302.199, -1089.966,     0.773
 40800.000, 91472.880,  -887.585,     0.678
 40800.000, 99273.927, -1029.252,     0.953
 40800.000,110975.497, -1107.313,     0.945
 40800.000,114251.937, -1020.578,     0.525
 40800.000, 62374.974,  -653.401,     0.811
 40800.000, 83827.853,  -922.279,     0.885
 40800.000,110117.382, -1205.612,     0.649
 40800.000,104812.670,  -922.279,     0.590
 40800.000, 68927.853,  -647.619,     0.858
 40800.000,106138.848, -1130.442,     0.939
 40800.000, 50439.372,  -552.211,     0.784
 40800.000,108089.110, -1110.204,     0.753
 40800.000, 43340.419,  -500.170,     0.928
