#X,Y,Z,attr 
 15442.236, 60500.000,  -589.796,     0.836
 52570.186, 60500.000,  -754.592,     0.643
 51218.634, 60500.000,  -717.007,     0.603
 38180.124, 60500.000,  -711.224,     0.937
 54319.255, 60500.000,  -708.333,     0.867
 23551.553, 60500.000,  -679.422,     0.780
 33727.950, 60500.000,  -615.816,     0.099
 14249.689, 60500.000,  -557.993,     0.954
 26572.671, 60500.000,  -581.122,     0.870
 21086.957, 60500.000,  -578.231,     0.530
 22438.509, 60500.000,  -679.422,     0.682
 36828.571, 60500.000,  -667.857,     0.890
 50821.118, 60500.000,  -743.027,     0.825
 41360.248, 60500.000,  -696.769,     0.604
 11546.584, 60500.000,  -555.102,     0.856
 44142.857, 60500.000,  -676.531,     0.890
 15998.758, 60500.000,  -604.252,     0.937
 51059.627, 60500.000,  -696.769,     0.687
 40962.733, 60500.000,  -690.986,     0.679
 23790.062, 60500.000,  -630.272,     0.937
 15760.248, 60500.000,  -636.054,     0.841
 59089.441, 60500.000,  -745.918,     0.830
 35079.503, 60500.000,  -682.313,     0.465
 15124.224, 60500.000,  -650.510,     0.598
 26413.665, 60500.000,  -615.816,     0.943
 25539.130, 60500.000,  -650.510,     0.615
 17111.801, 60500.000,  -572.449,     0.920
 14965.217, 60500.000,  -595.578,     0.803
 49867.081, 60500.000,  -714.116,     0.586
 32455.901, 60500.000,  -621.599,     0.542
 26095.652, 60500.000,  -638.946,     0.835
 15044.720, 60500.000,  -612.925,     0.543
 35795.031, 60500.000,  -636.054,     0.513
 15601.242, 60500.000,  -621.599,     0.742
 15680.745, 60500.000,  -598.469,     0.811
 37305.590, 60500.000,  -667.857,     0.910
 48197.516, 60500.000,  -743.027,     0.665
 10354.037, 60500.000,  -598.469,     0.890
 53603.727, 60500.000,  -693.878,     0.902
 51218.634, 60500.000,  -708.333,     0.677
 48913.043, 60500.000,  -725.680,     0.572
 26970.186, 60500.000,  -612.925,     0.949
 33648.447, 60500.000,  -699.660,     0.432
 26890.683, 60500.000,  -641.837,     0.818
 15521.739, 60500.000,  -650.510,     0.747
 43665.839, 60500.000,  -705.442,     0.746
 47402.484, 60500.000,  -722.789,     0.584
 20768.944, 60500.000,  -569.558,     0.074
 43824.845, 60500.000,  -673.639,     0.820
 24505.590, 60500.000,  -633.163,     0.803
 11944.099, 60500.000,  -589.796,     0.670
 38259.627, 60500.000,  -719.898,     0.610
 55432.298, 60500.000,  -722.789,     0.957
 25539.130, 60500.000,  -595.578,     0.560
 43268.323, 60500.000,  -719.898,     0.856
 24982.609, 60500.000,  -656.293,     0.441
 18860.870, 60500.000,  -664.966,     0.936
 57181.366, 60500.000,  -745.918,     0.692
 27844.720, 60500.000,  -670.748,     0.598
 56783.851, 60500.000,  -774.830,     0.486
 41996.273, 60500.000,  -705.442,     0.559
 13772.671, 60500.000,  -563.776,     0.923
 55988.820, 60500.000,  -693.878,     0.945
 44063.354, 60500.000,  -690.986,     0.891
 41439.752, 60500.000,  -673.639,     0.822
 20053.416, 60500.000,  -584.014,     0.839
 15442.236, 60500.000,  -653.401,     0.617
 15203.727, 60500.000,  -636.054,     0.906
 25221.118, 60500.000,  -598.469,     0.945
 17827.329, 60500.000,  -636.054,     0.918
 18622.360, 60500.000,  -604.252,     0.553
 18463.354, 60500.000,  -659.184,     0.921
 26811.180, 60500.000,  -592.687,     0.503
 20132.919, 60500.000,  -584.014,     0.857
 17032.298, 60500.000,  -630.272,     0.919
 51854.658, 60500.000,  -745.918,     0.820
 38339.130, 60500.000,  -667.857,     0.762
 17350.311, 60500.000,  -659.184,     0.894
  9877.019, 60500.000,  -566.667,     0.750
 10354.037, 60500.000,  -638.946,     0.920
 48038.509, 60500.000,  -737.245,     0.932
 36192.547, 60500.000,  -708.333,     0.713
 32058.385, 60500.000,  -659.184,     0.718
 33807.453, 60500.000,  -664.966,     0.912
 17906.832, 60500.000,  -618.707,     0.682
 16793.789, 60500.000,  -584.014,     0.902
 11626.087, 60500.000,  -578.231,     0.555
 60520.497, 60500.000,  -754.592,     0.677
 60281.988, 60500.000,  -803.741,     0.783
 14567.702, 60500.000,  -560.884,     0.921
 35636.025, 60500.000,  -650.510,     0.935
 24903.106, 60500.000,  -653.401,     0.505
 52093.168, 60500.000,  -705.442,     0.859
 35636.025, 60500.000,  -685.204,     0.499
 14408.696, 60500.000,  -552.211,     0.831
 40485.714, 60500.000,  -711.224,     0.859
 57101.863, 60500.000,  -757.483,     0.937
 28162.733, 60500.000,  -662.075,     0.461
 24664.596, 60500.000,  -667.857,     0.780
 14090.683, 60500.000,  -638.946,     0.855
 50026.087, 60500.000,  -743.027,     0.665
 28083.230, 60500.000,  -612.925,     0.782
 36272.050, 60500.000,  -708.333,     0.791
 55432.298, 60500.000,  -685.204,     0.980
 56704.348, 60500.000,  -714.116,     0.741
 31342.857, 60500.000,  -633.163,     0.914
 20768.944, 60500.000,  -610.034,     0.910
 18542.857, 60500.000,  -592.687,     0.933
 27844.720, 60500.000,  -667.857,     0.436
 56465.839, 60500.000,  -717.007,     0.916
 56545.342, 60500.000,  -748.810,     0.889
 44858.385, 60500.000,  -743.027,     0.303
 57022.360, 60500.000,  -743.027,     0.589
 45573.913, 60500.000,  -740.136,     0.545
 44778.882, 60500.000,  -708.333,     0.644
 32296.894, 60500.000,  -670.748,     0.560
 48833.540, 60500.000,  -734.354,     0.931
 10274.534, 60500.000,  -569.558,     0.914
 32535.404, 60500.000,  -659.184,     0.805
 15124.224, 60500.000,  -598.469,     0.633
 41280.745, 60500.000,  -705.442,     0.465
  9956.522, 60500.000,  -592.687,     0.805
 48754.037, 60500.000,  -685.204,     0.768
 50503.106, 60500.000,  -714.116,     0.597
 16157.764, 60500.000,  -566.667,     0.953
 39531.677, 60500.000,  -719.898,     0.701
 21325.466, 60500.000,  -607.143,     0.952
 16873.292, 60500.000,  -604.252,     0.902
 20530.435, 60500.000,  -664.966,     0.759
 55273.292, 60500.000,  -777.721,     0.392
 60600.000, 60500.000,  -774.830,     0.702
 36431.056, 60500.000,  -696.769,     0.956
 38975.155, 60500.000,  -682.313,     0.707
 16634.783, 60500.000,  -644.728,     0.812
 37623.602, 60500.000,  -693.878,     0.510
 28878.261, 60500.000,  -592.687,     0.820
 20132.919, 60500.000,  -610.034,     0.578
 53285.714, 60500.000,  -769.048,     0.432
 12103.106, 60500.000,  -555.102,     0.942
 46845.963, 60500.000,  -728.571,     0.911
 20053.416, 60500.000,  -638.946,     0.732
 14408.696, 60500.000,  -595.578,     0.644
 36113.043, 60500.000,  -679.422,     0.903
 35318.012, 60500.000,  -670.748,     0.804
 39213.665, 60500.000,  -693.878,     0.622
 49390.062, 60500.000,  -728.571,     0.624
 27924.224, 60500.000,  -595.578,     0.758
 29514.286, 60500.000,  -618.707,     0.843
 32932.919, 60500.000,  -656.293,     0.663
 14965.217, 60500.000,  -624.490,     0.843
 57896.894, 60500.000,  -760.374,     0.948
 56147.826, 60500.000,  -734.354,     0.527
 49469.565, 60500.000,  -705.442,     0.772
 14249.689, 60500.000,  -592.687,     0.831
 55829.814, 60500.000,  -688.095,     0.925
 52331.677, 60500.000,  -690.986,     0.824
 21961.491, 60500.000,  -584.014,     0.558
 17350.311, 60500.000,  -578.231,     0.729
 56704.348, 60500.000,  -688.095,     0.886
 60361.491, 60500.000,  -803.741,     0.764
 26016.149, 60500.000,  -636.054,     0.739
 32137.888, 60500.000,  -653.401,     0.903
 27208.696, 60500.000,  -598.469,     0.468
 60600.000, 60500.000,  -815.306,     0.285
 49946.584, 60500.000,  -719.898,     0.733
 51775.155, 60500.000,  -685.204,     0.726
 57260.870, 60500.000,  -743.027,     0.490
 51298.137, 60500.000,  -717.007,     0.573
 13613.665, 60500.000,  -644.728,     0.828
